Date,Holiday
2012-09-03,Labor Day
2012-09-04,Close to holiday one
2012-09-05,Close to holiday two
2012-10-06,Close to holiday two
2012-10-07,Close to holiday one
2012-10-08,Columbus Day
2012-10-09,Close to holiday one
2012-10-10,Close to holiday two
2012-11-10,Close to holiday two
2012-11-11,Close to holiday one
2012-11-12,Veterans Day
2012-11-13,Close to holiday one
2012-11-14,Close to holiday two
2012-11-20,Close to holiday two
2012-11-21,Close to holiday one
2012-11-22,Thanksgiving Day
2012-11-23,Close to holiday one
2012-11-24,Close to holiday two
2012-12-23,Close to holiday two
2012-12-24,Close to holiday one
2012-12-25,Christmas Day
2012-12-26,Close to holiday one
2012-12-27,Close to holiday two
2012-12-30,Close to holiday two
2012-12-31,Close to holiday one
2013-01-01,New Year's Day
2013-01-02,Close to holiday one
2013-01-03,Close to holiday two
2013-01-19,Close to holiday two
2013-01-20,Close to holiday one
2013-01-21,"Birthday of Martin Luther King, Jr."
2013-01-22,Close to holiday one
2013-01-23,Close to holiday two
2013-02-16,Close to holiday two
2013-02-17,Close to holiday one
2013-02-18,Washington's Birthday
2013-02-19,Close to holiday one
2013-02-20,Close to holiday two
2013-05-25,Close to holiday two
2013-05-26,Close to holiday one
2013-05-27,Memorial Day
2013-05-28,Close to holiday one
2013-05-29,Close to holiday two
2013-07-02,Close to holiday two
2013-07-03,Close to holiday one
2013-07-04,Independence Day
2013-07-05,Close to holiday one
2013-07-06,Close to holiday two
2013-08-31,Close to holiday two
2013-09-01,Close to holiday one
2013-09-02,Labor Day
2013-09-03,Close to holiday one
2013-09-04,Close to holiday two
2013-10-12,Close to holiday two
2013-10-13,Close to holiday one
2013-10-14,Columbus Day
2013-10-15,Close to holiday one
2013-10-16,Close to holiday two
2013-11-09,Close to holiday two
2013-11-10,Close to holiday one
2013-11-11,Veterans Day
2013-11-12,Close to holiday one
2013-11-13,Close to holiday two
2013-11-26,Close to holiday two
2013-11-27,Close to holiday one
2013-11-28,Thanksgiving Day
2013-11-29,Close to holiday one
2013-11-30,Close to holiday two
2013-12-23,Close to holiday two
2013-12-24,Close to holiday one
2013-12-25,Christmas Day
2013-12-26,Close to holiday one
2013-12-27,Close to holiday two
2013-12-30,Close to holiday two
2013-12-31,Close to holiday one
2014-01-01,New Year's Day
2014-01-02,Close to holiday one
2014-01-03,Close to holiday two
2014-01-18,Close to holiday two
2014-01-19,Close to holiday one
2014-01-20,"Birthday of Martin Luther King, Jr."
2014-01-21,Close to holiday one
2014-01-22,Close to holiday two
2014-02-15,Close to holiday two
2014-02-16,Close to holiday one
2014-02-17,Washington's Birthday
2014-02-18,Close to holiday one
2014-02-19,Close to holiday two
2014-05-24,Close to holiday two
2014-05-25,Close to holiday one
2014-05-26,Memorial Day
2014-05-27,Close to holiday one
2014-05-28,Close to holiday two
2014-07-02,Close to holiday two
2014-07-03,Close to holiday one
2014-07-04,Independence Day
2014-07-05,Close to holiday one
2014-07-06,Close to holiday two
2014-08-30,Close to holiday two
2014-08-31,Close to holiday one
2014-09-01,Labor Day
2014-09-02,Close to holiday one
2014-09-03,Close to holiday two
2014-10-11,Close to holiday two
2014-10-12,Close to holiday one
2014-10-13,Columbus Day
2014-10-14,Close to holiday one
2014-10-15,Close to holiday two
2014-11-09,Close to holiday two
2014-11-10,Close to holiday one
2014-11-11,Veterans Day
2014-11-12,Close to holiday one
2014-11-13,Close to holiday two
2014-11-25,Close to holiday two
2014-11-26,Close to holiday one
2014-11-27,Thanksgiving Day
2014-11-28,Close to holiday one
2014-11-29,Close to holiday two
2014-12-23,Close to holiday two
2014-12-24,Close to holiday one
2014-12-25,Christmas Day
2014-12-26,Close to holiday one
2014-12-27,Close to holiday two
2014-12-30,Close to holiday two
2014-12-31,Close to holiday one
2015-01-01,New Year's Day
2015-01-02,Close to holiday one
2015-01-03,Close to holiday two
2015-01-17,Close to holiday two
2015-01-18,Close to holiday one
2015-01-19,"Birthday of Martin Luther King, Jr."
2015-01-20,Close to holiday one
2015-01-21,Close to holiday two
2015-02-14,Close to holiday two
2015-02-15,Close to holiday one
2015-02-16,Washington's Birthday
2015-02-17,Close to holiday one
2015-02-18,Close to holiday two
2015-05-23,Close to holiday two
2015-05-24,Close to holiday one
2015-05-25,Memorial Day
2015-05-26,Close to holiday one
2015-05-27,Close to holiday two
2015-07-01,Close to holiday two
2015-07-02,Close to holiday one
2015-07-03,Independence Day
2015-07-04,Close to holiday one
2015-07-05,Close to holiday two
2015-09-05,Close to holiday two
2015-09-06,Close to holiday one
2015-09-07,Labor Day
2015-09-08,Close to holiday one
2015-09-09,Close to holiday two
2015-10-10,Close to holiday two
2015-10-11,Close to holiday one
2015-10-12,Columbus Day
2015-10-13,Close to holiday one
2015-10-14,Close to holiday two
2015-11-09,Close to holiday two
2015-11-10,Close to holiday one
2015-11-11,Veterans Day
2015-11-12,Close to holiday one
2015-11-13,Close to holiday two
2015-11-24,Close to holiday two
2015-11-25,Close to holiday one
2015-11-26,Thanksgiving Day
2015-11-27,Close to holiday one
2015-11-28,Close to holiday two
2015-12-23,Close to holiday two
2015-12-24,Close to holiday one
2015-12-25,Christmas Day
2015-12-26,Close to holiday one
2015-12-27,Close to holiday two
2015-12-30,Close to holiday two
2015-12-31,Close to holiday one
2016-01-01,New Year's Day
2016-01-02,Close to holiday one
2016-01-03,Close to holiday two
2016-01-16,Close to holiday two
2016-01-17,Close to holiday one
2016-01-18,"Birthday of Martin Luther King, Jr."
2016-01-19,Close to holiday one
2016-01-20,Close to holiday two
2016-02-13,Close to holiday two
2016-02-14,Close to holiday one
2016-02-15,Washington's Birthday
2016-02-16,Close to holiday one
2016-02-17,Close to holiday two
2016-05-28,Close to holiday two
2016-05-29,Close to holiday one
2016-05-30,Memorial Day
2016-05-31,Close to holiday one
2016-06-01,Close to holiday two
2016-07-02,Close to holiday two
2016-07-03,Close to holiday one
2016-07-04,Independence Day
2016-07-05,Close to holiday one
2016-07-06,Close to holiday two
2016-09-03,Close to holiday two
2016-09-04,Close to holiday one
2016-09-05,Labor Day
2016-09-06,Close to holiday one
2016-09-07,Close to holiday two
2016-10-08,Close to holiday two
2016-10-09,Close to holiday one
2016-10-10,Columbus Day
2016-10-11,Close to holiday one
2016-10-12,Close to holiday two
2016-11-09,Close to holiday two
2016-11-10,Close to holiday one
2016-11-11,Veterans Day
2016-11-12,Close to holiday one
2016-11-13,Close to holiday two
2016-11-22,Close to holiday two
2016-11-23,Close to holiday one
2016-11-24,Thanksgiving Day
2016-11-25,Close to holiday one
2016-11-26,Close to holiday two
2016-12-24,Close to holiday two
2016-12-25,Close to holiday one
2016-12-26,Christmas Day
2016-12-27,Close to holiday one
2016-12-28,Close to holiday two
2016-12-31,Close to holiday two
2017-01-01,Close to holiday one
2017-01-02,New Year's Day
2017-01-03,Close to holiday one
2017-01-04,Close to holiday two
2017-01-14,Close to holiday two
2017-01-15,Close to holiday one
2017-01-16,"Birthday of Martin Luther King, Jr."
2017-01-17,Close to holiday one
2017-01-18,Close to holiday two
2017-02-18,Close to holiday two
2017-02-19,Close to holiday one
2017-02-20,Washington's Birthday
2017-02-21,Close to holiday one
2017-02-22,Close to holiday two
2017-05-27,Close to holiday two
2017-05-28,Close to holiday one
2017-05-29,Memorial Day
2017-05-30,Close to holiday one
2017-05-31,Close to holiday two
2017-07-02,Close to holiday two
2017-07-03,Close to holiday one
2017-07-04,Independence Day
2017-07-05,Close to holiday one
2017-07-06,Close to holiday two
2017-09-02,Close to holiday two
2017-09-03,Close to holiday one
2017-09-04,Labor Day
2017-09-05,Close to holiday one
2017-09-06,Close to holiday two
2017-10-07,Close to holiday two
2017-10-08,Close to holiday one
2017-10-09,Columbus Day
2017-10-10,Close to holiday one
2017-10-11,Close to holiday two
2017-11-08,Close to holiday two
2017-11-09,Close to holiday one
2017-11-10,Veterans Day
2017-11-11,Close to holiday one
2017-11-12,Close to holiday two
2017-11-21,Close to holiday two
2017-11-22,Close to holiday one
2017-11-23,Thanksgiving Day
2017-11-24,Close to holiday one
2017-11-25,Close to holiday two
2017-12-23,Close to holiday two
2017-12-24,Close to holiday one
2017-12-25,Christmas Day
2017-12-26,Close to holiday one
2017-12-27,Close to holiday two
2017-12-30,Close to holiday two
2017-12-31,Close to holiday one
2018-01-01,New Year's Day
2018-01-02,Close to holiday one
2018-01-03,Close to holiday two
2018-01-13,Close to holiday two
2018-01-14,Close to holiday one
2018-01-15,"Birthday of Martin Luther King, Jr."
2018-01-16,Close to holiday one
2018-01-17,Close to holiday two
2018-02-17,Close to holiday two
2018-02-18,Close to holiday one
2018-02-19,Washington's Birthday
2018-02-20,Close to holiday one
2018-02-21,Close to holiday two
2018-05-26,Close to holiday two
2018-05-27,Close to holiday one
2018-05-28,Memorial Day
2018-05-29,Close to holiday one
2018-05-30,Close to holiday two
2018-07-02,Close to holiday two
2018-07-03,Close to holiday one
2018-07-04,Independence Day
2018-07-05,Close to holiday one
2018-07-06,Close to holiday two
2018-09-01,Close to holiday two
2018-09-02,Close to holiday one
2018-09-03,Labor Day
2018-09-04,Close to holiday one
2018-09-05,Close to holiday two
2018-10-06,Close to holiday two
2018-10-07,Close to holiday one
2018-10-08,Columbus Day
2018-10-09,Close to holiday one
2018-10-10,Close to holiday two
2018-11-10,Close to holiday two
2018-11-11,Close to holiday one
2018-11-12,Veterans Day
2018-11-13,Close to holiday one
2018-11-14,Close to holiday two
2018-11-20,Close to holiday two
2018-11-21,Close to holiday one
2018-11-22,Thanksgiving Day
2018-11-23,Close to holiday one
2018-11-24,Close to holiday two
2018-12-23,Close to holiday two
2018-12-24,Close to holiday one
2018-12-25,Christmas Day
2018-12-26,Close to holiday one
2018-12-27,Close to holiday two
2018-12-30,Close to holiday two
2018-12-31,Close to holiday one
2019-01-01,New Year's Day
2019-01-02,Close to holiday one
2019-01-03,Close to holiday two
2019-01-19,Close to holiday two
2019-01-20,Close to holiday one
2019-01-21,"Birthday of Martin Luther King, Jr."
2019-01-22,Close to holiday one
2019-01-23,Close to holiday two
2019-02-16,Close to holiday two
2019-02-17,Close to holiday one
2019-02-18,Washington's Birthday
2019-02-19,Close to holiday one
2019-02-20,Close to holiday two
2019-05-25,Close to holiday two
2019-05-26,Close to holiday one
2019-05-27,Memorial Day
2019-05-28,Close to holiday one
2019-05-29,Close to holiday two
2019-07-02,Close to holiday two
2019-07-03,Close to holiday one
2019-07-04,Independence Day
2019-07-05,Close to holiday one
2019-07-06,Close to holiday two
2019-08-31,Close to holiday two
2019-09-01,Close to holiday one
2019-09-02,Labor Day
2019-09-03,Close to holiday one
2019-09-04,Close to holiday two
2019-10-12,Close to holiday two
2019-10-13,Close to holiday one
2019-10-14,Columbus Day
2019-10-15,Close to holiday one
2019-10-16,Close to holiday two
2019-11-09,Close to holiday two
2019-11-10,Close to holiday one
2019-11-11,Veterans Day
2019-11-12,Close to holiday one
2019-11-13,Close to holiday two
2019-11-26,Close to holiday two
2019-11-27,Close to holiday one
2019-11-28,Thanksgiving Day
2019-11-29,Close to holiday one
2019-11-30,Close to holiday two
2019-12-23,Close to holiday two
2019-12-24,Close to holiday one
2019-12-25,Christmas Day
2019-12-26,Close to holiday one
2019-12-27,Close to holiday two
2019-12-30,Close to holiday two
2019-12-31,Close to holiday one
2020-01-01,New Year's Day
2020-01-02,Close to holiday one
2020-01-03,Close to holiday two
2020-01-18,Close to holiday two
2020-01-19,Close to holiday one
2020-01-20,"Birthday of Martin Luther King, Jr."
2020-01-21,Close to holiday one
2020-01-22,Close to holiday two
2020-02-15,Close to holiday two
2020-02-16,Close to holiday one
2020-02-17,Washington's Birthday
2020-02-18,Close to holiday one
2020-02-19,Close to holiday two
2020-05-23,Close to holiday two
2020-05-24,Close to holiday one
2020-05-25,Memorial Day
2020-05-26,Close to holiday one
2020-05-27,Close to holiday two
2020-07-01,Close to holiday two
2020-07-02,Close to holiday one
2020-07-03,Independence Day
2020-07-04,Close to holiday one
2020-07-05,Close to holiday two
2020-09-05,Close to holiday two
2020-09-06,Close to holiday one
2020-09-07,Labor Day
2020-09-08,Close to holiday one
2020-09-09,Close to holiday two
2020-10-10,Close to holiday two
2020-10-11,Close to holiday one
2020-10-12,Columbus Day
2020-10-13,Close to holiday one
2020-10-14,Close to holiday two
2020-11-09,Close to holiday two
2020-11-10,Close to holiday one
2020-11-11,Veterans Day
2020-11-12,Close to holiday one
2020-11-13,Close to holiday two
2020-11-24,Close to holiday two
2020-11-25,Close to holiday one
2020-11-26,Thanksgiving Day
2020-11-27,Close to holiday one
2020-11-28,Close to holiday two
2020-12-23,Close to holiday two
2020-12-24,Close to holiday one
2020-12-25,Christmas Day
2020-12-26,Close to holiday one
2020-12-27,Close to holiday two
